P	T_1_20	T_1_60	T_1_100	T_1_140	T_0_20	T_0_60	T_0_100	T_0_140
1	1.000167332	1.13817671	1.275904072	1.413461043	1.000167332	1.13817671	1.275904072	1.413461043
5	0.196902304	0.225275457	0.253355762	0.281259384	0.196902304	0.225275457	0.253355762	0.281259384
10	0.096466581	0.111160501	0.1255451	0.139746949	0.096466581	0.111160501	0.1255451	0.139746949
15	0.062967206	0.073121115	0.082948514	0.092586499	0.062967206	0.073121115	0.082948514	0.092586499
20	0.046201742	0.054101489	0.061656045	0.069014458	0.046201742	0.054101489	0.061656045	0.069014458
25	0.036129842	0.04269046	0.04888588	0.05487831	0.036129842	0.04269046	0.04888588	0.05487831
30	0.029404998	0.035084485	0.040377464	0.045460439	0.029404998	0.035084485	0.040377464	0.045460439
35	0.02459316	0.02965355	0.034304802	0.038739057	0.02459316	0.02965355	0.034304802	0.038739057
40	0.020977683	0.025582782	0.029754972	0.033703352	0.020977683	0.025582782	0.029754972	0.033703352
45	0.018160797	0.022419532	0.026220828	0.029791617	0.018160797	0.022419532	0.026220828	0.029791617
50	0.015904309	0.019892345	0.023398111	0.02666699	0.015904309	0.019892345	0.023398111	0.02666699
55	0.014057238	0.017828597	0.021093205	0.024114987	0.014057238	0.017828597	0.021093205	0.024114987
60	0.012519655	0.016113229	0.019177053	0.021992671	0.012519655	0.016113229	0.019177053	0.021992671
65	0.01122308	0.014666768	0.017560312	0.020201088	0.01122308	0.014666768	0.017560312	0.020201088
70	0.010119439	0.013432448	0.016179184	0.018669532	0.010119439	0.013432448	0.016179184	0.018669532
75	0.009174225	0.01236873	0.014986906	0.017346129	0.009174225	0.01236873	0.014986906	0.017346129
80	0.008362017	0.011444509	0.013948366	0.016192037	0.008362017	0.011444509	0.013948366	0.016192037
85	0.007663509	0.01063603	0.01303675	0.015177494	0.007663509	0.01063603	0.01303675	0.015177494
90	0.007063284	0.009924759	0.012231154	0.014279334	0.007063284	0.009924759	0.012231154	0.014279334
95	0.006548403	0.009296091	0.011515088	0.013479303	0.006548403	0.009296091	0.011515088	0.013479303
100	0.006107415	0.008738234	0.010875348	0.012762746	0.006107415	0.008738234	0.010875348	0.012762746
105	0.005730008	0.008241595	0.0103012	0.012117835	0.005730008	0.008241595	0.0103012	0.012117835
110	0.005406873	0.0077982	0.009783863	0.011534843	0.005406873	0.0077982	0.009783863	0.011534843
115	0.005129758	0.00740136	0.009316043	0.011005752	0.005129758	0.00740136	0.009316043	0.011005752
120	0.004891454	0.0070454	0.008891638	0.010523839	0.004891454	0.0070454	0.008891638	0.010523839
125	0.004685783	0.006725446	0.008505499	0.010083468	0.004685783	0.006725446	0.008505499	0.010083468
130	0.004507519	0.006437252	0.008153243	0.009679884	0.004507519	0.006437252	0.008153243	0.009679884
135	0.004352278	0.00617716	0.007831118	0.009308964	0.004352278	0.00617716	0.007831118	0.009308964
140	0.004216403	0.00594194	0.007535862	0.00896723	0.004216403	0.00594194	0.007535862	0.00896723
145	0.004096848	0.00572878	0.007264677	0.008651641	0.004096848	0.00572878	0.007264677	0.008651641
150	0.003991089	0.00553519	0.007015085	0.008359549	0.003991089	0.00553519	0.007015085	0.008359549
