P	T_1_20	T_1_60	T_1_100	T_1_140	T_0_20	T_0_60	T_0_100	T_0_140
1	1.00929221	1.03374836	1.058521581	1.084491065	0.999968636	1.021986078	1.046161255	1.071849707
5	1.029269922	1.052477454	1.076241034	1.101554533	1.003800402	1.025566193	1.049356152	1.074645834
10	1.043722004	1.065374642	1.088076384	1.112698752	1.009840975	1.031105694	1.054266543	1.078929185
15	1.055234652	1.075464325	1.097205967	1.121193593	1.016804748	1.03737931	1.059786903	1.083726169
20	1.065310321	1.084234648	1.105085929	1.128473815	1.024512548	1.044224	1.065768952	1.088904766
25	1.074504768	1.092231874	1.112251925	1.135069078	1.032865034	1.051555602	1.072137392	1.094398022
30	1.083096669	1.099728848	1.118972895	1.141247087	1.041795288	1.059320682	1.078845528	1.100164676
35	1.091248967	1.10688475	1.125406857	1.147166531	1.051253676	1.067481285	1.085861036	1.10617644
40	1.099066422	1.11380179	1.131656153	1.152931286	1.061201233	1.076008488	1.093159882	1.112412528
45	1.106620902	1.120550045	1.137791657	1.158614185	1.071606205	1.084879182	1.100723288	1.118856904
50	1.113964098	1.127179911	1.14386492	1.164268937	1.082442022	1.094074266	1.108536029	1.12549674
55	1.121134548	1.133728965	1.14991487	1.169936738	1.093686002	1.103577554	1.116585412	1.132321474
60	1.128161805	1.140226039	1.155971797	1.175650181	1.105318481	1.113375066	1.124860619	1.139322214
65	1.135069057	1.14669376	1.162059844	1.181435732	1.117322191	1.123454546	1.133352267	1.146491334
70	1.141874832	1.153150221	1.168198643	1.187315342	1.129681816	1.133805117	1.142052103	1.153822198
75	1.149205095	1.159610109	1.174404429	1.193307552	1.142383645	1.14441703	1.150952781	1.161308949
80	1.147005201	1.166085504	1.180690819	1.199428277	1.155388896	1.155281479	1.160047699	1.168946371
85	1.144809518	1.17258644	1.187069374	1.205691357	1.154039114	1.166390446	1.169330872	1.176729769
90	1.142618038	1.17912133	1.193550012	1.212108977	1.152840631	1.177736595	1.17879684	1.184654888
95	1.140430753	1.181579774	1.200141318	1.218691971	1.15176936	1.184070258	1.18844059	1.19271784
100	1.138247656	1.179317906	1.206850777	1.225450064	1.150806067	1.182211563	1.198257493	1.200915058
105	1.136068737	1.177060368	1.21368496	1.232392048	1.149935211	1.1805324	1.208243256	1.209243244
110	1.133893989	1.174807151	1.216290389	1.239525932	1.149144095	1.179007959	1.214120977	1.217699341
115	1.131723405	1.172558247	1.213962075	1.246859046	1.148422247	1.177617797	1.21182226	1.226280501
120	1.129556975	1.170313648	1.211638218	1.254392377	1.147760952	1.176344922	1.209718927	1.234984059
125	1.127394693	1.168073347	1.209318809	1.251991125	1.147152896	1.175175092	1.207787085	1.243807517
130	1.125236549	1.165837333	1.207003841	1.249594471	1.1465919	1.174096281	1.206006584	1.243512192
135	1.123082538	1.1636056	1.204693304	1.247202403	1.146072704	1.173098266	1.204360313	1.240993185
140	1.120932649	1.16137814	1.20238719	1.244814915	1.145590804	1.172172297	1.202833645	1.238658677
145	1.118786876	1.159154943	1.200085491	1.242431998	1.14514232	1.171310845	1.201414004	1.236489118
150	1.116645211	1.156936002	1.197788197	1.240053641	1.144723894	1.170507394	1.200090517	1.234467624
