P	T_1_20	T_1_60	T_1_100	T_1_140	T_0_20	T_0_60	T_0_100	T_0_140
1	0.974024212	0.431092661	0.270226015	0.194511642	0.974024212	0.431092661	0.270226015	0.194511642
5	0.976347112	0.432120751	0.270870463	0.194975523	0.976347112	0.432120751	0.270870463	0.194975523
10	0.979280141	0.433418879	0.271684181	0.195561246	0.979280141	0.433418879	0.271684181	0.195561246
15	0.982245843	0.434731467	0.272506963	0.196153494	0.982245843	0.434731467	0.272506963	0.196153494
20	0.985244218	0.436058515	0.27333881	0.196752266	0.985244218	0.436058515	0.27333881	0.196752266
25	0.988275265	0.437400024	0.274179721	0.197357563	0.988275265	0.437400024	0.274179721	0.197357563
30	0.991338984	0.438755993	0.275029696	0.197969385	0.991338984	0.438755993	0.275029696	0.197969385
35	0.994435375	0.440126423	0.275888736	0.198587731	0.994435375	0.440126423	0.275888736	0.198587731
40	0.99756444	0.441511313	0.27675684	0.199212602	0.99756444	0.441511313	0.27675684	0.199212602
45	1.000726176	0.442910664	0.277634009	0.199843997	1.000726176	0.442910664	0.277634009	0.199843997
50	1.003920585	0.444324475	0.278520242	0.200481918	1.003920585	0.444324475	0.278520242	0.200481918
55	1.007147666	0.445752746	0.279415539	0.201126362	1.007147666	0.445752746	0.279415539	0.201126362
60	1.01040742	0.447195478	0.280319901	0.201777332	1.01040742	0.447195478	0.280319901	0.201777332
65	1.013699846	0.448652671	0.281233327	0.202434826	1.013699846	0.448652671	0.281233327	0.202434826
70	1.017024944	0.450124323	0.282155818	0.203098845	1.017024944	0.450124323	0.282155818	0.203098845
75	1.020382715	0.451610437	0.283087373	0.203769388	1.020382715	0.451610437	0.283087373	0.203769388
80	1.023773159	0.453111011	0.284027992	0.204446456	1.023773159	0.453111011	0.284027992	0.204446456
85	1.027196274	0.454626045	0.284977676	0.205130049	1.027196274	0.454626045	0.284977676	0.205130049
90	1.030652062	0.45615554	0.285936424	0.205820166	1.030652062	0.45615554	0.285936424	0.205820166
95	1.034140523	0.457699495	0.286904236	0.206516808	1.034140523	0.457699495	0.286904236	0.206516808
100	1.037661656	0.45925791	0.287881113	0.207219975	1.037661656	0.45925791	0.287881113	0.207219975
105	1.041215461	0.460830787	0.288867054	0.207929666	1.041215461	0.460830787	0.288867054	0.207929666
110	1.044801939	0.462418123	0.28986206	0.208645882	1.044801939	0.462418123	0.28986206	0.208645882
115	1.048421089	0.46401992	0.29086613	0.209368623	1.048421089	0.46401992	0.29086613	0.209368623
120	1.052072911	0.465636177	0.291879264	0.210097888	1.052072911	0.465636177	0.291879264	0.210097888
125	1.055757406	0.467266895	0.292901463	0.210833678	1.055757406	0.467266895	0.292901463	0.210833678
130	1.059474574	0.468912074	0.293932726	0.211575993	1.059474574	0.468912074	0.293932726	0.211575993
135	1.063224413	0.470571713	0.294973054	0.212324832	1.063224413	0.470571713	0.294973054	0.212324832
140	1.067006926	0.472245812	0.296022446	0.213080196	1.067006926	0.472245812	0.296022446	0.213080196
145	1.07082211	0.473934372	0.297080902	0.213842084	1.07082211	0.473934372	0.297080902	0.213842084
150	1.074669967	0.475637392	0.298148423	0.214610497	1.074669967	0.475637392	0.298148423	0.214610497
