P	T_1_20	T_1_60	T_1_100	T_1_140	T_0_20	T_0_60	T_0_100	T_0_140
1	0.977196483	0.858706729	0.766013701	0.691465821	0.977196483	0.858706729	0.766013701	0.691465821
5	4.963679851	4.338510787	3.85765847	3.474941836	4.963679851	4.338510787	3.85765847	3.474941836
10	10.13159155	8.792331759	7.784931482	6.993784172	10.13159155	8.792331759	7.784931482	6.993784172
20	21.15418081	18.06530672	15.85181136	14.16167038	21.15418081	18.06530672	15.85181136	14.16167038
30	33.23788698	27.85732765	24.20558189	21.49913266	33.23788698	27.85732765	24.20558189	21.49913266
40	46.59046534	38.20382002	32.8469477	28.9988957	46.59046534	38.20382002	32.8469477	28.9988957
50	61.45252928	49.13246763	41.77089255	36.65055523	61.45252928	49.13246763	41.77089255	36.65055523
60	78.06604995	60.65574991	50.9650766	44.44025881	78.06604995	60.65574991	50.9650766	44.44025881
70	96.5824333	72.76112193	60.40848361	52.35053623	96.5824333	72.76112193	60.40848361	52.35053623
80	116.8808921	85.39990839	70.06985744	60.36053389	116.8808921	85.39990839	70.06985744	60.36053389
90	138.3719	98.47695025	79.90742473	68.44576846	138.3719	98.47695025	79.90742473	68.44576846
100	160.0284269	111.8486808	89.86930791	76.57913014	160.0284269	111.8486808	89.86930791	76.57913014
110	180.7625096	125.3314811	99.89510455	84.73110589	180.7625096	125.3314811	99.89510455	84.73110589
120	199.8097027	138.7231326	109.9189993	92.87105108	199.8097027	138.7231326	109.9189993	92.87105108
130	216.8288171	151.8287616	119.8737735	100.9681475	216.8288171	151.8287616	119.8737735	100.9681475
140	231.7994873	164.4850069	129.694513	108.99241	231.7994873	164.4850069	129.694513	108.99241
150	244.8855728	176.5720803	139.3226242	116.9153928	244.8855728	176.5720803	139.3226242	116.9153928
160	256.3295424	188.0151045	148.7085062	124.7118901	256.3295424	188.0151045	148.7085062	124.7118901
170	266.3842394	198.7780486	157.8129772	132.3592572	266.3842394	198.7780486	157.8129772	132.3592572
180	275.2809111	208.8559848	166.6071861	139.8389809	275.2809111	208.8559848	166.6071861	139.8389809
190	283.2156352	218.2652043	175.0718741	147.1363701	283.2156352	218.2652043	175.0718741	147.1363701
200	290.3490711	227.0367199	183.1970503	154.2396545	290.3490711	227.0367199	183.1970503	154.2396545
210	296.8120471	235.2087722	190.9793827	161.1414139	296.8120471	235.2087722	190.9793827	161.1414139
220	302.7091899	242.825588	198.4213786	167.8361522	302.7091899	242.825588	198.4213786	167.8361522
230	308.1255049	249.9310359	205.5299497	174.3221924	308.1255049	249.9310359	205.5299497	174.3221924
240	313.1296574	256.5688236	212.3148941	180.5989046	313.1296574	256.5688236	212.3148941	180.5989046
250	317.7768906	262.7806134	218.7888289	186.668398	317.7768906	262.7806134	218.7888289	186.668398
260	322.1141291	268.6050846	224.9652258	192.5336851	322.1141291	268.6050846	224.9652258	192.5336851
270	326.1788277	274.0778548	230.8582339	198.1993227	326.1788277	274.0778548	230.8582339	198.1993227
280	330.003184	279.2310096	236.4832772	203.6706913	330.003184	279.2310096	236.4832772	203.6706913
290	333.6135119	284.0936607	241.8547402	208.953234	333.6135119	284.0936607	241.8547402	208.953234
