P	T_1_20	T_1_60	T_1_100	T_1_140	T_0_20	T_0_60	T_0_100	T_0_140
1	1098.37027	1079.188177	1054.857706	1026.106332	1098.37027	1079.188177	1054.857706	1026.106332
5	1098.403294	1079.229616	1054.906999	1026.162831	1098.403294	1079.229616	1054.906999	1026.162831
10	1098.447108	1079.284035	1054.971308	1026.236199	1098.447108	1079.284035	1054.971308	1026.236199
20	1098.543181	1079.401615	1055.108901	1026.392092	1098.543181	1079.401615	1055.108901	1026.392092
30	1098.65052	1079.530855	1055.258472	1026.560202	1098.65052	1079.530855	1055.258472	1026.560202
40	1098.769133	1079.671765	1055.42003	1026.74054	1098.769133	1079.671765	1055.42003	1026.74054
50	1098.899026	1079.824352	1055.593588	1026.933121	1098.899026	1079.824352	1055.593588	1026.933121
60	1099.040207	1079.988628	1055.779155	1027.137957	1099.040207	1079.988628	1055.779155	1027.137957
70	1099.192685	1080.164602	1055.976746	1027.355063	1099.192685	1080.164602	1055.976746	1027.355063
80	1099.356469	1080.352286	1056.186373	1027.584455	1099.356469	1080.352286	1056.186373	1027.584455
90	1099.53157	1080.551692	1056.408052	1027.826149	1099.53157	1080.551692	1056.408052	1027.826149
100	1099.717999	1080.762834	1056.641796	1028.080163	1099.717999	1080.762834	1056.641796	1028.080163
110	1099.915766	1080.985725	1056.887622	1028.346514	1099.915766	1080.985725	1056.887622	1028.346514
120	1100.124884	1081.220379	1057.145547	1028.625221	1100.124884	1081.220379	1057.145547	1028.625221
130	1100.345366	1081.466812	1057.415588	1028.916306	1100.345366	1081.466812	1057.415588	1028.916306
140	1100.577225	1081.725039	1057.697764	1029.219788	1100.577225	1081.725039	1057.697764	1029.219788
150	1100.820476	1081.995078	1057.992094	1029.535689	1100.820476	1081.995078	1057.992094	1029.535689
160	1101.075135	1082.276946	1058.298599	1029.864032	1101.075135	1082.276946	1058.298599	1029.864032
170	1101.341215	1082.570662	1058.617299	1030.204842	1101.341215	1082.570662	1058.617299	1030.204842
180	1101.618735	1082.876244	1058.948216	1030.558141	1101.618735	1082.876244	1058.948216	1030.558141
190	1101.907712	1083.193713	1059.291373	1030.923956	1101.907712	1083.193713	1059.291373	1030.923956
200	1102.208162	1083.52309	1059.646794	1031.302313	1102.208162	1083.52309	1059.646794	1031.302313
210	1102.520105	1083.864395	1060.014503	1031.693239	1102.520105	1083.864395	1060.014503	1031.693239
220	1102.843561	1084.217652	1060.394525	1032.096764	1102.843561	1084.217652	1060.394525	1032.096764
230	1103.178549	1084.582883	1060.786887	1032.512915	1103.178549	1084.582883	1060.786887	1032.512915
240	1103.52509	1084.960113	1061.191615	1032.941723	1103.52509	1084.960113	1061.191615	1032.941723
250	1103.883207	1085.349366	1061.608738	1033.38322	1103.883207	1085.349366	1061.608738	1033.38322
260	1104.25292	1085.750668	1062.038285	1033.837436	1104.25292	1085.750668	1062.038285	1033.837436
270	1104.634253	1086.164045	1062.480285	1034.304407	1104.634253	1086.164045	1062.480285	1034.304407
280	1105.027231	1086.589525	1062.934769	1034.784164	1105.027231	1086.589525	1062.934769	1034.784164
290	1105.431877	1087.027135	1063.401769	1035.276745	1105.431877	1087.027135	1063.401769	1035.276745
