P	T_1_20	T_1_60	T_1_100	T_1_140	T_0_20	T_0_60	T_0_100	T_0_140
1	4.761404709	4.636246438	4.34360761	4.065391972	0.511077276	0.42571494	0.35461019	0.295381663
5	18.41788074	16.59387752	14.92805961	13.59451769	3.548513459	2.9558254	2.462130663	2.050894955
10	28.28324887	24.8506917	22.04570974	19.88453658	8.174977605	6.809557503	5.672195769	4.72480111
15	36.13346794	31.32276635	27.56339837	24.71720807	13.31988415	11.09513951	9.241981344	7.698345664
20	42.99784734	36.95556798	32.34217923	28.88228938	18.83331136	15.68769027	13.06746442	10.88488002
25	49.25723502	42.09543721	36.69773555	32.67013168	24.63805056	20.52289684	17.09507388	14.23978073
30	55.10267561	46.91499211	40.78797686	36.22680596	30.6860199	25.56070819	21.2914482	17.73525847
35	60.64594444	51.51471769	44.70530229	39.63844177	36.94404946	30.7734946	25.63357249	21.35214239
40	65.95897247	55.95899618	48.50928499	42.9610833	43.38771724	36.14091313	30.10450157	25.07631757
45	71.09117285	60.29187613	52.24097458	46.2337559	49.99820791	41.64729107	34.69118047	28.89690953
50	76.07814945	64.54497221	55.93006552	49.48501974	56.76053194	47.2801425	39.3832087	32.80525492
55	80.9465091	68.74181868	59.59885118	52.73658909	63.66243558	53.02926036	44.17208404	36.7942716
60	85.71671624	72.90044587	63.26456704	56.00548037	70.69369422	58.88612779	49.05071214	40.85805014
65	90.40488262	77.03499213	66.94085896	59.30536064	77.84563274	64.84351861	54.0130738	44.9915767
70	95.02394016	81.15675833	70.6387455	62.64743337	85.11078806	70.89521628	59.05399076	49.19053792
75	99.58443822	85.27492341	74.36727222	66.04104211	92.48266431	77.03580989	64.16895588	53.45117945
80	100	89.39704503	78.13397051	69.49409491	100	83.26054243	69.35400668	57.77020065
85	100	93.52941912	81.94518794	73.01337079	100	89.56519549	74.60562933	62.14467458
90	100	97.67734389	85.80633138	76.60474602	100	95.94599985	79.92068415	66.57198597
95	100	100	89.72204969	80.27336457	100	100	85.29634708	71.04978243
100	100	100	93.69637314	84.02376884	100	100	90.73006283	75.57593548
105	100	100	97.73282167	87.86000131	100	100	96.21950707	80.14850902
110	100	100	100	91.78568488	100	100	100	84.76573352
115	100	100	100	95.80408697	100	100	100	89.42598478
120	100	100	100	99.91817136	100	100	100	94.1277661
125	100	100	100	100	100	100	100	98.86969337
130	100	100	100	100	100	100	100	100
135	100	100	100	100	100	100	100	100
140	100	100	100	100	100	100	100	100
145	100	100	100	100	100	100	100	100
150	100	100	100	100	100	100	100	100
