Q_fw0	Pwf_fw0	Q_fw95	Pwf_fw95
0	250	0	250
8.445945946	242.9676371	10.89497934	239.2515982
16.89189189	235.750117	21.78995868	228.4800557
25.33783784	228.3319957	32.68493802	217.6821641
33.78378378	220.6955546	43.57991736	206.8538974
42.22972973	212.8203024	54.4748967	195.9900859
50.67567568	204.6823261	65.36987604	185.0839024
59.12162162	196.253434	76.26485538	174.1260069
67.56756757	187.5	87.15983472	163.1030215
76.01351351	178.3813729	98.05481406	151.9945604
84.45945946	168.8476324	108.9497934	140.7666709
92.90540541	158.8363291	119.8447727	129.354326
101.3513514	148.2675827	130.7397521	117.595965
109.7972973	137.0364002	141.6347314	104.5791712
118.2432432	125	152.5297108	89.63928963
126.6891892	111.9554905	163.4246901	74.69940802
135.1351351	97.5970508	174.3196694	59.75952642
143.5810811	81.42347736	185.2146488	44.81964481
152.027027	62.5	196.1096281	29.87976321
160.472973	38.6271243	207.0046075	14.9398816
168.9189189	0	217.8995868	4.36179E-14
