P	T_1_20	T_1_60	T_1_100	T_1_140	T_0_20	T_0_60	T_0_100	T_0_140
1	0.009996795	0.011411375	0.01279064	0.014133269	0.009996795	0.011411375	0.01279064	0.014133269
5	0.010073117	0.01146601	0.01283199	0.014165876	0.010073117	0.01146601	0.01283199	0.014165876
10	0.01019626	0.011556885	0.012902643	0.014222895	0.01019626	0.011556885	0.012902643	0.014222895
15	0.010342214	0.011665123	0.01298748	0.014291955	0.010342214	0.011665123	0.01298748	0.014291955
20	0.010509353	0.011788289	0.013084038	0.01437076	0.010509353	0.011788289	0.013084038	0.01437076
25	0.010698007	0.011925498	0.013191177	0.014458158	0.010698007	0.011925498	0.013191177	0.014458158
30	0.010909481	0.012076514	0.013308292	0.014553465	0.010909481	0.012076514	0.013308292	0.014553465
35	0.011145789	0.012241448	0.01343506	0.01465624	0.011145789	0.012241448	0.01343506	0.01465624
40	0.011409566	0.012420628	0.013571316	0.01476618	0.011409566	0.012420628	0.013571316	0.01476618
45	0.011704054	0.012614535	0.013716996	0.014883074	0.011704054	0.012614535	0.013716996	0.014883074
50	0.012033105	0.012823745	0.013872098	0.015006762	0.012033105	0.012823745	0.013872098	0.015006762
55	0.012401145	0.013048901	0.014036657	0.015137123	0.012401145	0.013048901	0.014036657	0.015137123
60	0.012813076	0.013290687	0.014210731	0.01527406	0.012813076	0.013290687	0.014210731	0.01527406
65	0.013274085	0.013549771	0.014394387	0.01541749	0.013274085	0.013549771	0.014394387	0.01541749
70	0.013789219	0.0138268	0.014587681	0.015567334	0.013789219	0.0138268	0.014587681	0.015567334
75	0.01436276	0.014122337	0.014790657	0.015723523	0.01436276	0.014122337	0.014790657	0.015723523
80	0.014997465	0.014436826	0.015003336	0.015885973	0.014997465	0.014436826	0.015003336	0.015885973
85	0.015693686	0.01477054	0.015225701	0.0160546	0.015693686	0.01477054	0.015225701	0.0160546
90	0.016448822	0.015123573	0.015457708	0.016229315	0.016448822	0.015123573	0.015457708	0.016229315
95	0.01725712	0.01549575	0.015699259	0.016410012	0.01725712	0.01549575	0.015699259	0.016410012
100	0.018110279	0.015886664	0.015950204	0.016596578	0.018110279	0.015886664	0.015950204	0.016596578
105	0.018998273	0.016295611	0.016210353	0.016788877	0.018998273	0.016295611	0.016210353	0.016788877
110	0.019910452	0.016721647	0.016479453	0.01698677	0.019910452	0.016721647	0.016479453	0.01698677
115	0.020836343	0.01716358	0.016757203	0.017190095	0.020836343	0.01716358	0.016757203	0.017190095
120	0.021766383	0.017620008	0.017043256	0.017398689	0.021766383	0.017620008	0.017043256	0.017398689
125	0.022692253	0.018089367	0.017337215	0.017612366	0.022692253	0.018089367	0.017337215	0.017612366
130	0.023607064	0.018570038	0.01763864	0.017830915	0.023607064	0.018570038	0.01763864	0.017830915
135	0.024505378	0.019060284	0.017947055	0.018054151	0.024505378	0.019060284	0.017947055	0.018054151
140	0.025383144	0.019558423	0.018261973	0.018281836	0.025383144	0.019558423	0.018261973	0.018281836
145	0.0262376	0.020062766	0.018582856	0.018513749	0.0262376	0.020062766	0.018582856	0.018513749
150	0.027066999	0.020571749	0.018909188	0.018749665	0.027066999	0.020571749	0.018909188	0.018749665
