P	T_1_20	T_1_60	T_1_100	T_1_140	T_0_20	T_0_60	T_0_100	T_0_140
1	8.559156805	6.149554162	4.713801526	3.762575971	25.71191932	9.617602907	6.743390534	5.483086122
5	6.292443286	5.055137066	4.184431383	3.527506603	20.69164119	8.603061632	6.274423843	5.215999271
10	5.209217927	4.480036087	3.880080506	3.376918389	15.6499608	7.430039957	5.696080427	4.87221567
15	4.548165437	4.101929128	3.667511158	3.264778166	12.09762044	6.469985476	5.189251652	4.556828551
20	4.074127248	3.813945124	3.497794973	3.170952833	9.598419112	5.698556596	4.756478889	4.27620851
25	3.707103136	3.57897391	3.353556827	3.088044688	7.8025468	5.075823392	4.387986473	4.028399812
30	3.409622867	3.37932432	3.226378143	3.012368954	6.478884265	4.567533276	4.072790555	3.809483713
35	3.16101024	3.205089486	3.111493827	2.941794261	5.478914728	4.147388916	3.80125376	3.615406067
40	2.948620395	3.050136339	3.005937868	2.874973476	4.706292284	3.795757417	3.565487136	3.442521627
45	2.764147832	2.910395503	2.907741849	2.811005326	4.097224496	3.498018474	3.359178908	3.2877133
50	2.601841475	2.783025141	2.815538012	2.749263887	3.608480119	3.243207952	3.17730663	3.148368151
55	2.45755329	2.665960575	2.728342822	2.68930398	3.210078168	3.023014777	3.015865409	3.022311041
60	2.328192576	2.557653465	2.645430135	2.63080474	2.880768616	2.831062839	2.871643911	2.907732576
65	2.211394464	2.456911981	2.566252589	2.573533975	2.605183204	2.662400623	2.742048689	2.8031239
70	2.105308979	2.362798315	2.490390625	2.517324592	2.372000417	2.513137277	2.624969024	2.707221599
75	2.008966935	2.274560464	2.417518191	2.462058373	2.172738306	2.38018095	2.518673528	2.618962543
80	2.016031252	2.191585396	2.347378935	2.407654442	2.001522321	2.261048728	2.421730993	2.537447383
85	2.031559682	2.113366031	2.279769264	2.354060822	2.023382111	2.153727024	2.332949542	2.461911199
90	2.047088113	2.039477426	2.214525997	2.301248102	2.046753728	2.056567871	2.251329564	2.391699921
95	2.062616543	2.008274947	2.151517215	2.249204569	2.071572493	2.009831564	2.176027076	2.326251341
100	2.078144974	2.022890922	2.090635363	2.197932412	2.097780792	2.032076399	2.106324976	2.26507978
105	2.093673404	2.037506896	2.031791979	2.147444699	2.125326939	2.05557842	2.04161034	2.207763648
110	2.109201834	2.052122871	2.008849132	2.097762942	2.154164253	2.080289352	2.008947918	2.153935304
115	2.124730265	2.066738846	2.024392408	2.048915113	2.184250276	2.106165306	2.030871802	2.103272752
120	2.140258695	2.081354821	2.039935683	2.002753159	2.215546132	2.13316613	2.05384924	2.055492801
125	2.155787126	2.095970796	2.055478959	2.019233327	2.248015971	2.161254866	2.077842264	2.010345408
130	2.171315556	2.110586771	2.071022235	2.036648136	2.281626511	2.19039728	2.102815786	2.018736176
135	2.186843987	2.125202746	2.086565511	2.054062946	2.316346636	2.220561469	2.128737193	2.040710018
140	2.202372417	2.139818721	2.102108787	2.071477756	2.35214706	2.251717517	2.155576011	2.063539456
145	2.217900848	2.154434696	2.117652062	2.088892565	2.38900003	2.283837206	2.183303608	2.087195459
150	2.233429278	2.16905067	2.133195338	2.106307375	2.426879072	2.316893757	2.211892938	2.11165072
