P	T_1_20	T_1_60	T_1_100	T_1_140	T_0_20	T_0_60	T_0_100	T_0_140
1	856.6930351	836.3072829	816.4644763	796.6624892	860.5264959	841.9058688	822.384291	802.6206366
5	853.0326994	832.5291805	812.63403	792.7766733	860.1990729	841.3780717	821.8433622	802.1288829
10	850.4591382	830.0254551	810.1881519	790.3615864	859.5312707	840.5107195	820.9914118	801.3666177
20	846.7245256	826.4990381	806.8240931	787.1058972	857.3901092	838.2612553	818.9125937	799.5542618
30	843.7429248	823.7056236	804.1879664	784.5861259	854.2861524	835.4240873	816.4370029	797.4567362
40	841.1372081	821.2341667	801.8434155	782.3436271	850.3622043	832.0777137	813.6256648	795.1264192
50	838.7664752	818.9319782	799.625719	780.2017643	845.7501235	828.289037	810.5208574	792.5945159
60	836.5609306	816.724007	797.4522039	778.0694723	840.5660497	824.1184608	807.1579614	789.8845587
70	834.4807778	814.568087	795.275264	775.8925226	834.9110932	819.6207045	803.5684238	787.0162891
80	834.4123252	812.4387903	793.065384	773.6358785	828.9295524	814.845162	799.7807617	784.0071248
90	836.1454493	810.3202824	790.8036249	771.2758774	830.7618363	809.8362455	795.8209997	780.8728143
100	837.5345402	811.7210088	788.4778344	768.7962965	832.2305791	810.1223421	791.7129165	777.6277683
110	838.6727854	813.9141742	787.4704201	766.1861947	833.434209	812.3236087	788.8307825	774.2852486
120	839.6225046	815.7463378	790.3164881	763.477687	834.4385635	814.1625659	791.7012611	770.8574911
130	840.4269532	817.2998511	792.7327323	766.863336	835.2893472	815.7218578	794.1382847	770.1862566
140	841.1170939	818.6337884	794.8096774	769.7221701	836.0192808	817.0607705	796.2331318	773.2041261
150	841.7156743	819.7916284	796.6140977	772.2084457	836.6524058	818.222939	798.0531354	775.8291764
160	842.2397816	820.8060817	798.1963255	774.3905238	837.2067835	819.2411924	799.6490508	778.1334052
170	842.7025002	821.7022299	799.5950184	776.3210069	837.6962454	820.1407035	801.0598615	780.1722308
180	843.114019	822.4996275	800.8403584	778.0410316	838.1315628	820.9410981	802.316005	781.9890045
190	843.4823904	823.2137443	801.9562541	779.5832312	838.5212491	821.6579027	803.4415924	783.6181247
200	843.8140622	823.8569796	802.9618895	780.9738242	838.8721217	822.3035619	804.4559712	785.0872345
210	844.1142587	824.4393875	803.8728367	782.2341171	839.1897044	822.888167	805.3748459	786.4188022
220	844.3872572	824.9692064	804.7018672	783.3816026	839.4785202	823.4199868	806.2110973	787.631278
230	844.6365938	825.4532515	805.4595549	784.4307769	839.7423084	823.9058615	806.9753896	788.7399536
240	844.8652171	825.897209	806.1547286	785.3937543	839.9841871	824.3514986	807.6766272	789.7576105
250	845.0756052	826.3058608	806.7948183	786.2807375	840.206777	824.7616975	808.3223041	790.6950144
260	845.269856	826.6832573	807.3861214	787.1003803	840.412297	825.1405239	808.9187716	791.5612979
270	845.4497577	827.0328522	807.9340107	787.8600707	840.6026381	825.4914442	809.4714488	792.3642585
280	845.6168436	827.3576084	808.4430979	788.566154	840.779422	825.8174324	809.9849871	793.110594
290	845.772436	827.6600823	808.917364	789.2241107	840.9440473	826.1210544	810.4634019	793.8060901
