P	T_1_20	T_1_60	T_1_100	T_1_140	T_0_20	T_0_60	T_0_100	T_0_140
1	0.996132076	0.99741832	0.998208058	0.998724425	0.996132076	0.99741832	0.998208058	0.998724425
5	0.980539429	0.98707813	0.991068876	0.993662393	0.980539429	0.98707813	0.991068876	0.993662393
10	0.96077379	0.97413274	0.982206523	0.987425101	0.96077379	0.97413274	0.982206523	0.987425101
20	0.920306742	0.948215091	0.964736497	0.975285804	0.920306742	0.948215091	0.964736497	0.975285804
30	0.878590834	0.922367537	0.947683537	0.963644183	0.878590834	0.922367537	0.947683537	0.963644183
40	0.835721862	0.896758306	0.93115629	0.952565658	0.835721862	0.896758306	0.93115629	0.952565658
50	0.792007077	0.871612871	0.915279758	0.942119157	0.792007077	0.871612871	0.915279758	0.942119157
60	0.748148596	0.847230303	0.900194132	0.932375944	0.748148596	0.847230303	0.900194132	0.932375944
70	0.70550276	0.823987949	0.886048949	0.92340728	0.70550276	0.823987949	0.886048949	0.92340728
80	0.666262376	0.802333248	0.873004258	0.91527859	0.666262376	0.802333248	0.873004258	0.91527859
90	0.633130777	0.782762706	0.861217773	0.908055294	0.633130777	0.782762706	0.861217773	0.908055294
100	0.608277404	0.765757644	0.850836694	0.901791131	0.608277404	0.765757644	0.850836694	0.901791131
110	0.592356479	0.751717603	0.841988361	0.896532834	0.592356479	0.751717603	0.841988361	0.896532834
120	0.584606302	0.740891421	0.834768569	0.892313111	0.584606302	0.740891421	0.834768569	0.892313111
130	0.583613288	0.73335036	0.829233396	0.889150655	0.583613288	0.73335036	0.829233396	0.889150655
140	0.587914789	0.728993952	0.825399196	0.88705014	0.587914789	0.728993952	0.825399196	0.88705014
150	0.596247923	0.727597892	0.823241436	0.886004555	0.596247923	0.727597892	0.823241436	0.886004555
160	0.607603323	0.728868949	0.822700536	0.885989368	0.607603323	0.728868949	0.822700536	0.885989368
170	0.621211112	0.732491696	0.823690045	0.886974204	0.621211112	0.732491696	0.823690045	0.886974204
180	0.63649534	0.738155377	0.826107156	0.888915837	0.63649534	0.738155377	0.826107156	0.888915837
190	0.653033102	0.745574939	0.829840887	0.891764033	0.653033102	0.745574939	0.829840887	0.891764033
200	0.67051481	0.754494536	0.834774411	0.895468557	0.67051481	0.754494536	0.834774411	0.895468557
210	0.68871032	0.764694536	0.840795577	0.899970996	0.68871032	0.764694536	0.840795577	0.899970996
220	0.707450235	0.775979841	0.847796905	0.90521878	0.707450235	0.775979841	0.847796905	0.90521878
230	0.726606047	0.788188064	0.855677927	0.911153495	0.726606047	0.788188064	0.855677927	0.911153495
240	0.746080792	0.801179016	0.864347517	0.917724907	0.746080792	0.801179016	0.864347517	0.917724907
250	0.765802038	0.814833534	0.873720396	0.924880445	0.765802038	0.814833534	0.873720396	0.924880445
260	0.785710204	0.829051149	0.883721793	0.932573378	0.785710204	0.829051149	0.883721793	0.932573378
270	0.805762064	0.843746579	0.894285119	0.940758145	0.805762064	0.843746579	0.894285119	0.940758145
280	0.825921404	0.85884856	0.905347288	0.949392688	0.825921404	0.85884856	0.905347288	0.949392688
290	0.846161354	0.874296343	0.916855729	0.958440793	0.846161354	0.874296343	0.916855729	0.958440793
