Q       Pin_10  Pin_15  Pin_20  Pin_25  Pin_30  Pin_35
    0.00   10.00   15.00   20.00   25.00   30.00   35.00
   15.00    9.76   14.84   19.88   24.91   29.92   34.93
   28.00    9.10   14.44   19.58   24.67   29.72   34.76
   35.00    8.44   14.10   19.34   24.48   29.56   34.62
   40.00    7.68   13.78   19.13   24.31   29.43   34.51
   43.00    6.84   13.56   18.98   24.20   29.33   34.43
   43.96    5.63   13.49   18.93   24.16   29.30   34.40
   44.00    0.00   13.49   18.93   24.16   29.30   34.40
   53.00    0.00   12.61   18.40   23.76   28.98   34.12
   58.00    0.00   11.92   18.04   23.50   28.77   33.95
   60.00    0.00   11.59   17.88   23.38   28.67   33.87
   62.00    0.00   11.18   17.71   23.27   28.58   33.79
   65.00    0.00   10.31   17.43   23.08   28.43   33.67
   67.00    0.00    8.44   17.24   22.94   28.33   33.58
   67.20    0.00    0.00   17.22   22.93   28.32   33.57
   76.00    0.00    0.00   16.17   22.27   27.82   33.15
   85.00    0.00    0.00   14.53   21.44   27.21   32.67
   90.00    0.00    0.00   12.81   20.90   26.82   32.36
   91.00    0.00    0.00   11.25   20.78   26.75   32.30
   91.10    0.00    0.00    0.00   20.78   26.73   32.29
  100.00    0.00    0.00    0.00   19.56   25.96   31.68
  110.00    0.00    0.00    0.00   17.53   24.90   30.90
  113.00    0.00    0.00    0.00   16.55   24.55   30.64
  116.00    0.00    0.00    0.00   14.84   24.14   30.37
  116.50    0.00    0.00    0.00    0.00   24.08   30.32
  125.00    0.00    0.00    0.00    0.00   22.79   29.48
  130.00    0.00    0.00    0.00    0.00   21.86   28.92
  138.00    0.00    0.00    0.00    0.00   19.69   27.92
  142.50    0.00    0.00    0.00    0.00   16.88   27.31
  142.70    0.00    0.00    0.00    0.00    0.00   27.28
  150.00    0.00    0.00    0.00    0.00    0.00   26.11
  160.00    0.00    0.00    0.00    0.00    0.00   23.99
  165.00    0.00    0.00    0.00    0.00    0.00   22.49
  168.00    0.00    0.00    0.00    0.00    0.00   21.19
  170.00    0.00    0.00    0.00    0.00    0.00   19.69
  170.30    0.00    0.00    0.00    0.00    0.00    0.00
