Q       cal_1   cal_1.2
    0.00   15.00   15.00
   15.00   14.84   14.89
   28.00   14.44   14.62
   35.00   14.10   14.39
   40.00   13.78   14.18
   43.00   13.56   14.05
   43.96   13.49   14.00
   44.00   13.49   14.00
   53.00   12.61   13.48
   58.00   11.92   13.11
   60.00   11.59   12.94
   62.00   11.18   12.77
   64.00   10.66   12.57
   65.00   10.31   12.47
   66.00    9.90   12.36
   67.00    8.44   12.25
   67.10    0.00   12.23
   70.00    0.00   11.87
   75.00    0.00   11.07
   78.00    0.00   10.31
   79.50    0.00    9.73
   80.20    0.00    9.26
   80.40    0.00    8.44
   80.50    0.00    0.00
