Q	P_0	P_1	P_2	P_3	P_4	P_5
1	169.7887962	167.2962678	167.1311277	105.2637294	167.8683566	98.66874218
10	164.4162316	143.6062463	136.1602083	74.77289274	106.1795339	72.92339391
20	154.4278157	123.6649741	115.2050416	67.03905222	78.34158617	65.58221054
30	136.4905034	110.0999003	103.1121691	63.55193054	74.66913196	63.10898909
40	112.7531675	100.9006165	95.59272833	61.76662236	77.86339941	62.46524121
50	102.7446902	94.60393316	91.28785191	60.95026646	80.5676665	62.77624073
60	101.967997	90.44235313	89.17164426	60.71364283	82.98976794	63.68834152
70	101.6236938	87.84100335	87.39859249	60.94087198	85.18054943	65.02304817
80	101.5192078	85.9792824	87.20925818	61.49222763	87.2488775	66.67478522
90	101.7372156	85.08486177	87.49756298	62.28583048	89.20886831	68.57349498
100	102.1460839	84.66198246	88.00154197	63.40134977	91.07979814	70.66885018
110	102.8603019	84.95270645	89.9971172	64.58211179	92.91140543	72.92268516
120	103.6623648	85.33445515	91.17613826	65.94195037	94.64323868	75.30504572
130	104.6807073	86.15330078	92.30775443	67.47175105	96.38721402	77.79191174
140	105.7587721	87.22627664	93.73166372	69.09643896	98.08009519	80.36371558
150	107.0417247	88.39305975	95.41240774	70.95894121	99.74171893	83.00438577
160	108.4661672	89.80265856	97.33677742	72.65559091	101.3644033	85.70063912
170	109.93279	91.41035919	99.12726053	74.67116992	102.9797704	88.44147009
180	111.5336312	93.10829255	101.1909324	76.60516064	104.5843971	91.21770762
190	113.1278082	94.93767414	103.2305545	78.53428352	106.145189	94.02172044
200	114.6687341	96.81980387	105.3159735	80.42492618	107.6737373	96.84716281
210	116.2725878	98.60304834	107.3339479	82.34012885	109.1851834	99.68870882
220	117.9297014	100.3459728	109.4730832	84.27398319	110.6809471	102.5419606
230	119.6362362	102.4750395	111.3729886	86.22410958	112.1622415	105.4032438
240	121.5622377	104.572252	113.5408359	88.18645002	113.6301157	108.2695092
250	123.7575394	106.7076443	115.6837529	90.15789187	115.0854901	111.1382376
260	125.955512	108.6370653	117.9343315	92.13629287	116.5291789	114.0073562
270	128.1572179	110.5838579	120.1047338	94.12041368	117.9619097	116.8751631
280	130.3603537	112.4760585	122.3113801	96.10696841	119.3843296	119.7402792
290	132.5192504	114.2894904	124.5429189	98.09419515	120.7970381	122.6015967
300	134.6768239	116.0642048	126.7043582	100.0821118	122.234409	125.4582394
310	136.931945	117.8128536	128.8083475	102.0681111	123.6292098	128.3095246
320	139.0587766	119.497722	131.1107825	104.0525267	125.0157248	131.1549371
330	141.2195057	121.2977052	133.2228498	106.0337098	126.3943893	133.9941087
340	143.3760341	123.0645113	135.4059313	108.0106401	127.7656115	136.8267888
350	145.4967822	124.8109399	137.2615014	109.9829202	129.129772	139.652826
360	147.6166008	126.6806079	139.292311	111.9499774	130.4872351	142.4721658
370	149.7280386	128.2961934	141.4018259	113.943625	131.8383397	145.284823
380	151.8180046	130.0433677	143.7305555	115.899252	133.1834192	148.0908778
